                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2782,                 4.0764,                 3.6579,                0.18882,                0.28082,                0.17223,                0.04847,                 2.5486,                 4.5116,                  3.069,             0.00066405,             0.00066405,             0.00066405
                      2,                 2.3453,                 2.5369,                  2.751,                0.69852,                 0.6189,                0.67849,                0.29531,                 1.9528,                 2.0931,                 2.5306,              0.0013175,              0.0013175,              0.0013175
                      3,                 2.0155,                 1.9054,                 2.4285,                0.72822,                0.66987,                0.75073,                0.38718,                 1.6771,                 1.6279,                 2.2636,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.8204,                 1.6452,                 2.2456,                0.87881,                0.79795,                0.89236,                0.48777,                 1.6446,                 1.1933,                 2.1434,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7383,                 1.4947,                 2.1475,                0.88076,                0.80948,                0.90809,                0.49222,                 1.5053,                 1.1794,                 2.1055,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.657,                  1.426,                 2.0788,                0.86293,                0.79772,                 0.8862,                0.48209,                 1.5352,                 1.1228,                 1.9599,               0.001901,               0.001901,               0.001901
                      7,                 1.6053,                 1.3264,                 2.0131,                0.89179,                0.86301,                0.92411,                0.51406,                 1.4967,                 1.0309,                 1.9531,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5679,                 1.2629,                 1.9799,                0.87824,                 0.8893,                0.93422,                0.52241,                 1.4768,                0.96849,                 1.8665,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5551,                 1.2554,                 1.9702,                0.90986,                0.89879,                0.93719,                0.58601,                 1.2988,                0.96098,                 1.8162,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5293,                 1.2078,                 1.9316,                0.91984,                0.87671,                0.93017,                0.55429,                 1.3369,                0.93743,                   1.82,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5152,                 1.1728,                 1.9105,                0.93449,                0.86986,                 0.9369,                0.59553,                 1.2708,                0.88294,                 1.8135,               0.001802,               0.001802,               0.001802
                     12,                 1.4783,                  1.126,                 1.8757,                0.92465,                0.88259,                0.95232,                0.58237,                 1.3297,                0.88915,                 1.7788,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4768,                 1.1019,                 1.8786,                0.94225,                0.88356,                0.95643,                0.61793,                 1.2148,                0.81207,                 1.7245,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4604,                 1.0866,                  1.864,                0.93249,                0.89884,                0.96404,                0.58118,                 1.3425,                  0.854,                 1.8116,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4512,                  1.084,                 1.8617,                0.94235,                 0.8956,                0.95594,                0.61308,                 1.2552,                0.80202,                 1.7242,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4305,                  1.037,                 1.8363,                 0.9426,                0.93493,                0.97326,                0.58566,                 1.3425,                0.76741,                 1.7354,               0.001703,               0.001703,               0.001703
                     17,                 1.4259,                 1.0162,                 1.8278,                0.96139,                0.89384,                0.96579,                0.61759,                 1.2586,                0.72593,                 1.7124,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4117,                 1.0062,                 1.8067,                0.94087,                 0.9263,                0.97041,                0.63025,                 1.2114,                0.74107,                 1.6851,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3732,                0.98148,                 1.7792,                0.95531,                 0.8784,                0.96559,                0.61955,                 1.2394,                0.72502,                 1.7122,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3637,                0.96051,                 1.7778,                 0.9597,                0.92123,                0.98134,                0.54338,                 1.4484,                0.79498,                 1.7907,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3682,                0.95909,                 1.7814,                0.97209,                0.94521,                0.97188,                0.63752,                 1.1544,                0.67886,                 1.6764,               0.001604,               0.001604,               0.001604
                     22,                 1.3791,                0.93225,                 1.7854,                0.94926,                0.94178,                 0.9669,                0.64626,                 1.1475,                0.68865,                  1.656,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3573,                0.92382,                 1.7713,                 0.9569,                0.92808,                0.96717,                0.65254,                 1.1581,                0.69391,                 1.6419,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3448,                0.90451,                 1.7528,                0.98183,                0.91438,                0.98422,                0.61352,                 1.2987,                0.65977,                 1.7153,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3247,                0.88755,                 1.7396,                0.97423,                0.93151,                0.97682,                0.64886,                 1.1505,                0.67612,                 1.6186,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.327,                0.89355,                 1.7387,                0.97202,                0.95164,                0.97958,                0.66613,                  1.091,                0.64141,                 1.5916,               0.001505,               0.001505,               0.001505
                     27,                 1.3451,                0.89752,                 1.7586,                0.97865,                0.94192,                0.97584,                0.65974,                 1.1367,                0.61484,                 1.6291,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3133,                0.87553,                 1.7303,                0.96129,                0.93836,                0.97062,                0.65003,                 1.1419,                0.61613,                 1.6151,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.301,                0.83324,                 1.7122,                0.97725,                0.94863,                0.98246,                0.64893,                 1.1729,                0.63907,                 1.6177,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3068,                0.84641,                 1.7083,                0.94514,                0.96575,                0.97589,                0.66018,                 1.1201,                0.59861,                 1.6305,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2902,                0.83438,                 1.6861,                0.96185,                0.94981,                0.97104,                0.67178,                 1.0884,                0.62054,                 1.5777,               0.001406,               0.001406,               0.001406
                     32,                 1.2817,                0.82857,                  1.699,                0.94157,                 0.9589,                0.97913,                0.67737,                 1.1254,                0.62076,                 1.6039,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.275,                0.82571,                 1.6893,                0.96743,                0.96918,                0.98551,                 0.6885,                 1.0783,                0.58162,                 1.5561,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2798,                0.82023,                 1.6771,                0.97222,                0.95881,                0.97989,                0.67026,                  1.108,                0.57728,                 1.5862,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2628,                 0.8025,                 1.6593,                0.98356,                0.95205,                0.98065,                0.70607,                 1.0463,                0.58506,                  1.513,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2517,                0.80293,                 1.6578,                0.95912,                 0.9641,                0.97321,                0.64476,                 1.1826,                0.59669,                 1.6364,               0.001307,               0.001307,               0.001307
                     37,                 1.2521,                0.78818,                 1.6528,                0.97904,                0.95957,                0.98532,                0.69369,                 1.0937,                0.57465,                 1.5431,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2304,                0.77489,                 1.6453,                0.96237,                0.96334,                0.98153,                 0.6898,                 1.0857,                0.58806,                 1.5426,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2362,                0.77025,                 1.6299,                0.97237,                0.94521,                0.98205,                0.68606,                  1.074,                0.58519,                 1.5652,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2452,                0.77045,                 1.6514,                0.99277,                0.94002,                0.98244,                0.71514,                 1.0044,                0.53237,                 1.5112,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2122,                0.76162,                  1.621,                0.97564,                0.96004,                 0.9843,                0.68997,                 1.0419,                0.55222,                 1.5401,               0.001208,               0.001208,               0.001208
                     42,                 1.2213,                 0.7422,                 1.6372,                0.95926,                0.96233,                0.98556,                0.70081,                 1.0209,                0.53232,                 1.5359,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2101,                0.74982,                 1.6188,                0.98264,                0.96233,                 0.9828,                0.70443,                 1.0284,                0.52833,                 1.5156,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2167,                0.75146,                 1.6342,                0.97413,                0.96918,                0.98716,                0.69682,                 1.0374,                0.53311,                 1.5127,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2371,                0.75334,                 1.6368,                0.97583,                0.96803,                0.98446,                0.69976,                 1.0042,                0.55135,                 1.4764,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2043,                0.72872,                  1.609,                0.97194,                 0.9726,                0.98253,                0.71471,                 0.9916,                0.52597,                 1.4743,               0.001109,               0.001109,               0.001109
                     47,                 1.1767,                0.70955,                 1.5837,                0.97929,                0.94863,                0.98572,                 0.7142,                 1.0164,                0.50732,                  1.481,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1756,                0.71557,                 1.5828,                0.97699,                 0.9589,                0.98086,                 0.6991,                 1.0158,                0.52012,                 1.5054,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1815,                0.71543,                 1.5838,                0.97933,                0.97339,                0.98719,                0.71128,                0.99685,                0.49774,                 1.4738,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2009,                0.72462,                 1.5971,                0.98262,                  0.968,                0.98874,                0.69326,                 1.0617,                0.52347,                 1.4949,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1685,                0.70319,                 1.5779,                 0.9859,                0.95804,                0.98649,                0.70998,                 1.0034,                0.51148,                 1.4938,                0.00101,                0.00101,                0.00101
                     52,                 1.1833,                0.70377,                 1.5872,                0.97509,                0.96575,                0.98781,                0.71591,                0.99253,                0.49392,                 1.4678,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.175,                0.69073,                  1.574,                 0.9826,                0.96721,                0.98774,                0.71262,                 1.0271,                0.48406,                  1.499,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1714,                0.70332,                 1.5762,                0.98654,                0.96918,                0.99022,                0.71105,                 1.0154,                0.48801,                 1.5031,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1589,                0.69224,                 1.5617,                0.98596,                0.96169,                0.98979,                0.71768,                0.97104,                0.49095,                 1.4547,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1587,                0.68666,                 1.5594,                0.97927,                0.97077,                0.98955,                 0.7337,                0.96473,                0.50552,                 1.4326,               0.000911,               0.000911,               0.000911
                     57,                 1.1687,                0.68629,                 1.5684,                0.98114,                0.96233,                 0.9894,                0.72786,                 0.9959,                0.48559,                  1.448,              0.0008912,              0.0008912,              0.0008912
                     58,                   1.14,                0.67644,                 1.5564,                  0.969,                 0.9863,                0.99045,                0.72999,                 0.9823,                0.47944,                 1.4461,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1426,                0.66633,                 1.5593,                0.98569,                0.96575,                 0.9893,                0.71255,                0.97539,                0.48479,                 1.4786,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.132,                0.65606,                 1.5389,                0.98725,                 0.9589,                0.98991,                0.73411,                0.95884,                0.48621,                 1.4374,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1197,                0.65879,                 1.5341,                0.96621,                0.98973,                0.99052,                0.73883,                0.94384,                 0.4691,                 1.4218,               0.000812,               0.000812,               0.000812
                     62,                 1.1223,                0.65777,                 1.5284,                0.97223,                0.97603,                0.99119,                0.73731,                0.96067,                0.46988,                 1.4367,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1263,                0.64834,                 1.5429,                0.98381,                0.96575,                0.98801,                0.72128,                0.96871,                0.48013,                 1.4576,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1196,                0.67135,                 1.5228,                0.98571,                0.97603,                0.98955,                0.72453,                 0.9587,                0.46707,                 1.4317,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1101,                0.64844,                 1.5203,                0.97612,                0.97993,                0.99081,                 0.7413,                0.94513,                0.45724,                 1.4066,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1071,                0.63664,                 1.5147,                0.98612,                0.97297,                0.99097,                0.74101,                0.96725,                0.45188,                 1.4314,               0.000713,               0.000713,               0.000713
                     67,                  1.092,                0.64603,                 1.5096,                0.99333,                0.96918,                0.99052,                0.74269,                0.95042,                0.45698,                 1.4439,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1071,                0.63914,                 1.5211,                0.97863,                0.97603,                0.99057,                0.73733,                0.94596,                0.44711,                 1.4002,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0986,                0.63619,                  1.511,                0.98598,                0.96372,                0.99158,                0.75031,                0.92972,                0.43457,                 1.4154,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0913,                0.63988,                 1.5065,                0.98375,                0.97945,                0.99002,                0.74662,                0.95728,                0.43509,                 1.4138,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0896,                0.62832,                 1.4967,                0.98285,                0.98157,                0.99047,                0.74318,                0.92853,                0.43856,                 1.4039,               0.000614,               0.000614,               0.000614
                     72,                 1.0857,                0.62223,                 1.4858,                0.98352,                0.98288,                0.98903,                0.73663,                0.93053,                0.44503,                 1.4103,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.071,                0.60997,                 1.4845,                0.98957,                0.97464,                0.99057,                 0.7397,                0.94619,                0.45124,                  1.408,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0726,                 0.6143,                 1.4874,                0.99298,                0.96837,                0.99009,                0.74469,                0.91125,                0.43665,                 1.3829,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.077,                0.60636,                 1.4795,                0.97845,                0.98288,                0.99079,                0.74795,                0.92446,                0.43246,                 1.4032,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0579,                0.59866,                 1.4773,                0.98549,                0.97603,                 0.9906,                0.74129,                0.91671,                 0.4395,                 1.3932,               0.000515,               0.000515,               0.000515
                     77,                 1.0781,                0.59981,                 1.4814,                0.98533,                0.97603,                0.99131,                0.73781,                 0.9292,                0.43754,                 1.3992,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0439,                0.59706,                 1.4617,                0.98495,                0.97603,                0.99139,                0.74444,                0.91092,                0.42225,                 1.3973,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0617,                0.59103,                 1.4693,                0.98623,                 0.9814,                0.99166,                0.74905,                 0.8942,                0.41702,                 1.3649,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0553,                0.59047,                 1.4657,                0.98129,                0.96918,                0.99073,                0.74797,                0.92556,                0.42291,                 1.3864,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0385,                0.58779,                 1.4533,                0.99067,                0.96918,                0.99181,                0.75461,                0.91468,                0.43089,                 1.3793,               0.000416,               0.000416,               0.000416
                     82,                 1.0246,                0.57963,                 1.4383,                0.97832,                0.98288,                0.99182,                0.74954,                0.92072,                0.41245,                 1.3891,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0345,                0.58363,                 1.4489,                0.98862,                0.97945,                0.99166,                0.75635,                0.90545,                0.42615,                 1.3783,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0302,                0.57909,                 1.4513,                0.99359,                 0.9726,                0.99174,                0.76154,                0.90376,                0.41965,                 1.3645,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0246,                0.57875,                  1.437,                 0.9948,                0.97603,                0.99196,                 0.7525,                0.89413,                0.41303,                 1.3678,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0402,                0.58573,                  1.455,                0.98623,                 0.9814,                0.99152,                0.75613,                0.89819,                0.41632,                 1.3685,               0.000317,               0.000317,               0.000317
                     87,                 1.0198,                0.57739,                 1.4395,                0.99648,                0.96851,                0.99136,                0.75532,                0.90774,                0.42067,                 1.3831,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0254,                0.58073,                 1.4411,                0.98762,                0.97945,                0.99186,                 0.7516,                0.91311,                0.40993,                 1.3768,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.012,                0.56935,                 1.4299,                0.98314,                0.97603,                0.99136,                0.76024,                0.90844,                0.41035,                 1.3649,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0185,                0.57757,                 1.4291,                0.98954,                0.97153,                0.99135,                0.76031,                0.89234,                0.40879,                 1.3571,              0.0002378,              0.0002378,              0.0002378
                     91,                0.90731,                0.45302,                 1.3674,                0.98618,                0.97741,                0.99171,                0.76467,                0.90593,                0.40103,                 1.3551,               0.000218,               0.000218,               0.000218
                     92,                 0.8861,                0.43468,                 1.3495,                0.99305,                0.97909,                0.99155,                0.76736,                0.89437,                0.39588,                 1.3457,              0.0001982,              0.0001982,              0.0001982
                     93,                0.88242,                0.43149,                 1.3555,                 0.9965,                0.97464,                0.99177,                0.77113,                0.89708,                0.39651,                 1.3526,              0.0001784,              0.0001784,              0.0001784
                     94,                0.87731,                0.42351,                 1.3498,                0.99651,                0.97827,                0.99192,                  0.776,                0.89928,                0.39442,                 1.3571,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.8781,                0.42884,                 1.3471,                0.99433,                0.97945,                0.99205,                0.77107,                0.89345,                 0.3949,                 1.3507,              0.0001388,              0.0001388,              0.0001388
                     96,                0.87062,                0.42412,                 1.3379,                0.99477,                0.97945,                0.99217,                0.77298,                0.88858,                0.39169,                 1.3498,               0.000119,               0.000119,               0.000119
                     97,                0.86064,                0.42122,                 1.3332,                0.99437,                0.97945,                  0.992,                0.77492,                0.89347,                0.38754,                 1.3472,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.85352,                0.41599,                 1.3191,                0.99285,                0.97945,                0.99185,                0.77408,                0.88637,                0.38654,                 1.3454,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.8581,                0.41917,                 1.3271,                0.99596,                0.97945,                0.99195,                0.77334,                0.89179,                0.39226,                 1.3467,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.84625,                0.41313,                 1.3189,                 0.9935,                0.97603,                0.99215,                0.77313,                0.88666,                0.38642,                 1.3458,               3.98e-05,               3.98e-05,               3.98e-05
